INDEX,UTM_X,UTM_Y
307,248473.0085812105,3688197.57884705
308,248473.0375588761,3688197.413031936
309,248473.0649097747,3688197.247384225
310,248473.0905868286,3688197.080984076
311,248473.1147484422,3688196.914491926
312,248473.1373784897,3688196.749144753
313,248473.1586788874,3688196.58323351
314,248473.1785423002,3688196.416735745
315,248473.1973121479,3688196.249494862
316,248473.214481853,3688196.082921562
317,248473.2303880609,3688195.914381577
318,248473.245010861,3688195.744324876
319,248473.2580105015,3688195.573810376
320,248473.2694587357,3688195.403254188
321,248473.2799208619,3688195.231078658
322,248473.2889317434,3688195.058680803
323,248473.2969285794,3688194.886014545
324,248473.3038884222,3688194.713626229
325,248473.3095820938,3688194.542921388
326,248473.3140755559,3688194.371503512
327,248473.3175897372,3688194.199018932
328,248473.3200200601,3688194.028140452
329,248473.3213547026,3688193.855047884
330,248473.3217814488,3688193.681666381
331,248473.3211808929,3688193.509661128
332,248473.3195034158,3688193.337452716
333,248473.3170629082,3688193.164680384
334,248473.3137147281,3688192.991894781
335,248473.3094318266,3688192.818763769
336,248473.3044959381,3688192.646507501
337,248473.2987313252,3688192.473987192
338,248473.2922260856,3688192.300623259
339,248473.2850466422,3688192.12702579
340,248473.2771763419,3688191.953179189
341,248473.2688724531,3688191.781466923
342,248473.2597504292,3688191.608990685
343,248473.249703962,3688191.434778635
344,248473.2390350839,3688191.261321238
345,248473.2277460831,3688191.088164728
346,248473.2159487405,3688190.915538167
347,248473.203666189,3688190.743697479
348,248473.1910590662,3688190.573069789
349,248473.17799963,3688190.402408394
350,248473.1645280556,3688190.232403235
351,248473.1505372822,3688190.062271805
352,248473.1359940464,3688189.891724555
353,248473.1212496278,3688189.722790323
354,248473.106202871,3688189.553505813
355,248473.0907261933,3688189.382941251
356,248473.0747284385,3688189.210911745
357,248473.0581200424,3688189.039001718
358,248473.0409535518,3688188.867295349
359,248473.0232376583,3688188.694016469
360,248473.0053119974,3688188.521921824
361,248472.9869189296,3688188.348821605
362,248472.9680335438,3688188.174619963
363,248472.9487862382,3688188.000623123
364,248472.9292306894,3688187.826912628
365,248472.9096797886,3688187.654326059
366,248472.8900178524,3688187.482630105
367,248472.8697049014,3688187.309292342
368,248472.8489275142,3688187.135670633
369,248472.8281355027,3688186.964054897
370,248472.8069523033,3688186.792530761
371,248472.7853186837,3688186.620822232
372,248472.7630916852,3688186.447797436
373,248472.740513436,3688186.27525532
374,248472.7179347721,3688186.104878296
375,248472.6946625294,3688185.933553434
376,248472.6706583956,3688185.761687696
377,248472.6459109487,3688185.588333447
378,248472.6205902061,3688185.414371028
379,248472.5945325159,3688185.238926869
380,248472.5679076029,3688185.063564448
381,248472.5406519548,3688184.887617041
382,248472.5130330253,3688184.711337762
383,248472.4852870032,3688184.536068926
384,248472.4570696871,3688184.35926283
385,248472.4284218237,3688184.181128941
386,248472.3995373517,3688184.003197227
387,248472.3702456005,3688183.825832387
388,248472.3406827735,3688183.649037809
389,248472.3106713621,3688183.472090073
390,248472.2802714891,3688183.295285839
391,248472.2493962826,3688183.118047087
392,248472.2177398771,3688182.940942133
393,248472.1852900031,3688182.764324067
394,248472.1517556167,3688182.587320044
395,248472.1172048963,3688182.41018592
396,248472.0815192335,3688182.23218017
397,248472.0448413519,3688182.054268626
398,248472.0075807475,3688181.877533677
399,248471.9694533902,3688181.701248395
400,248471.9301136617,3688181.523629875
401,248471.889927255,3688181.346397088
402,248471.848846086,3688181.169675367
403,248471.8068915875,3688180.993254859
404,248471.7645644534,3688180.818478859
405,248471.7215434185,3688180.643852737
406,248471.6776328991,3688180.46973264
407,248471.6326902732,3688180.295699174
408,248471.5868534558,3688180.122183322
409,248471.5399714111,3688179.948631797
410,248471.492019677,3688179.775406638
411,248471.4431415444,3688179.602785476
412,248471.3932322064,3688179.430473701
413,248471.3423423959,3688179.258495508
414,248471.2903138945,3688179.086258016
415,248471.2371043115,3688178.914101231
416,248471.1828522616,3688178.742307474
417,248471.12743329,3688178.570525171
418,248471.0711363452,3688178.398823442
419,248471.0139474994,3688178.226700501
420,248470.9566511222,3688178.056538868
421,248470.8985233811,3688177.886366804
422,248470.8395654425,3688177.716175292
423,248470.7798712341,3688177.546123485
424,248470.719526939,3688177.376252813
425,248470.6593830326,3688177.208595822
426,248470.5993596939,3688177.042941647
427,248470.5387302031,3688176.877755459
428,248470.4773745391,3688176.712359798
429,248470.4152426149,3688176.54680946
430,248470.3525803617,3688176.381795169
