x,y,kappa
329933.4827715480,4157669.8506122101,-0.0003387467012064106
329933.4852609070,4157669.8537112600,-0.0003387467012064106
329933.4877502650,4157669.8568103001,0.0003875704138281763
329933.4902396230,4157669.8599093501,-4.88236355914501e-05
329933.4927289820,4157669.8630084000,-0.0003875703866280794
329933.4952183410,4157669.8661074401,0.000436394099249832
329933.4977076990,4157669.8692064900,-9.764724834885547e-05
329933.5001970590,4157669.8723055399,-0.0002899230114187126
329933.5026864170,4157669.8754045800,0.0003904423976346699
329933.5051757750,4157669.8785036299,-2.871979275297883e-06
329933.5076651330,4157669.8816026798,-0.000436394099249832
329933.5101544920,4157669.8847017200,0.000436394099249832
329933.5126438500,4157669.8878007699,-4.88236355914501e-05
329933.5151332090,4157669.8908998198,-0.0003387467012064106
329933.5176225670,4157669.8939988599,0.0003875704138281763
329933.5201119250,4157669.8970979098,-0.000436394099249832
329933.5226012840,4157669.9001969500,0.0003904423690913917
329933.5250906430,4157669.9032959999,0.0001132309886279028
329933.5275800000,4157669.9063950502,-0.0002137501616887994
329933.5300693610,4157669.9094941001,-0.0002595551230761761
329933.5325587190,4157669.9125931398,0.0004244818818118397
329933.5350480770,4157669.9156921902,-0.0004733055659382321
329933.5375374360,4157669.9187912298,0.0004733055659382321
329933.5400267940,4157669.9218902802,-6.727931029164199e-05
329933.5425161530,4157669.9249893301,-0.000357202487153739
329933.5450055110,4157669.9280883698,0.0004273538656945228
329933.5474948690,4157669.9311874202,-7.015128942735825e-05
329933.5499842280,4157669.9342864701,-0.0003387467012064106
329933.5524735860,4157669.9373855102,0.0003387467012064106
329933.5549629450,4157669.9404845601,4.88236355914501e-05
329933.5574523030,4157669.9435836100,-0.000485217761837319
329933.5599416630,4157669.9466826501,0.000485217761837319
329933.5624310210,4157669.9497817000,-4.88236355914501e-05
329933.5649203800,4157669.9528807499,-0.0003387467012064106
329933.5674097380,4157669.9559797901,0.0003387467012064106
329933.5698990970,4157669.9590788400,5.169561486674789e-05
329933.5723884550,4157669.9621778899,-0.0003904423976346699
329933.5748778130,4157669.9652769300,0.0003387467012064106
329933.5773671720,4157669.9683759799,-0.0003875703866280794
329933.5798565310,4157669.9714750201,0.000436394099249832
329933.5823458890,4157669.9745740700,-4.88236355914501e-05
329933.5848352480,4157669.9776731199,-0.0003387467012064106
329933.5873246060,4157669.9807721600,0.0002899230114187126
329933.5898139660,4157669.9838712099,9.764724834885547e-05
329933.5923033240,4157669.9869702598,-0.000436394099249832
329933.5947926830,4157669.9900692999,0.0004392660830563248
329933.5972820410,4157669.9931683498,1.55836993087693e-05
329933.5997713990,4157669.9962674002,-0.0004733055659382321
329933.6022607580,4157669.9993664399,0.0004060261749482599
329933.6047501170,4157670.0024654898,6.727931029164199e-05
329933.6072394750,4157670.0055645402,-0.0004733055659382321
329933.6097288340,4157670.0086635798,0.0004733055659382321
329933.6122181920,4157670.0117626302,-6.727931029164199e-05
329933.6147075510,4157670.0148616801,-0.0003358747189999198
329933.6171969090,4157670.0179607202,0.0003358747189999198
329933.6196862680,4157670.0210597701,0
329933.6221756270,4157670.0241588200,-0.0003875703866280794
329933.6246649860,4157670.0272578602,0.0003875703866280794
329933.6271543450,4157670.0303569101,-0.0003387467012064106
329933.6296437030,4157670.0334559502,0.0003387467012064106
329933.6321330620,4157670.0365550001,4.88236355914501e-05
329933.6346224200,4157670.0396540500,-0.000436394099249832
329933.6371117790,4157670.0427530902,0.000436394099249832
329933.6396011370,4157670.0458521401,-4.88236355914501e-05
329933.6420904960,4157670.0489511900,-0.0003358747189999198
329933.6445798540,4157670.0520502301,0.0003358747189999198
329933.6470692130,4157670.0551492800,-0.0003875703866280794
329933.6495585720,4157670.0582483201,0.0003387466968403913
329933.6520479320,4157670.0613473700,9.764724834885547e-05
329933.6545372900,4157670.0644464199,-4.88236355914501e-05
329933.6570266490,4157670.0675454699,-0.0003387467012064106
329933.6595160070,4157670.0706445100,0.0003387467012064106
329933.6620053660,4157670.0737435599,-0.0003387467012064106
329933.6644947240,4157670.0768426000,0.0003387467012064106
329933.6669840830,4157670.0799416499,0
329933.6694734420,4157670.0830406998,-0.0003387467012064106
329933.6719628000,4157670.0861397400,0.0003416186836697236
329933.6744521590,4157670.0892387899,4.595165765933149e-05
329933.6769415170,4157670.0923378398,-0.000436394099249832
329933.6794308760,4157670.0954368799,0.0003387466968403913
329933.6819202360,4157670.0985359298,6.72792861623807e-05
329933.6844095950,4157670.1016349802,-0.0003756581678948508
329933.6868989530,4157670.1047340198,0.0003756581678948508
329933.6893883120,4157670.1078330702,-0.0003756581678948508
329933.6918776700,4157670.1109321099,0.000357202487153739
329933.6943670290,4157670.1140311598,6.727931029164199e-05
329933.6968563870,4157670.1171302102,-0.0004733055659382321
329933.6993457460,4157670.1202292498,0.0004244818520212576
329933.7018351050,4157670.1233283002,3.32399339097984e-05
329933.7043244630,4157670.1264273501,-0.0004392660830563248
329933.7068138220,4157670.1295263902,0.0003875703866280794
329933.7093031810,4157670.1326254401,-5.169558926733799e-05
329933.7117925410,4157670.1357244900,-0.0002841790481710991
329933.7142818990,4157670.1388235302,0.0003358747189999198
329933.7167712580,4157670.1419225801,-0.0003875703866280794
329933.7192606170,4157670.1450216202,0.000436394099249832
329933.7217499750,4157670.1481206701,-4.88236355914501e-05
329933.7242393340,4157670.1512197200,-0.0003875703866280794
329933.7267286930,4157670.1543187601,0.000436394099249832
329933.7292180510,4157670.1574178101,-4.88236355914501e-05
329933.7317074100,4157670.1605168600,-0.0003875703866280794
329933.7341967690,4157670.1636159001,0.0003875703866280794
329933.7366861280,4157670.1667149500,-0.0003358747189999198
329933.7391754860,4157670.1698139901,0.0002841790481710991
329933.7416648460,4157670.1729130400,5.169558926733799e-05
329933.7441542050,4157670.1760120899,-0.0003875703866280794
329933.7466435640,4157670.1791111301,0.0004392660830563248
329933.7491329220,4157670.1822101800,-5.169561486674789e-05
329933.7516222810,4157670.1853092299,-0.0003387467012064106
329933.7541116390,4157670.1884082700,0.0003387467012064106
329933.7566009980,4157670.1915073199,0
329933.7590903570,4157670.1946063698,-0.0003875703866280794
329933.7615797160,4157670.1977054100,0.000436394099249832
329933.7640690740,4157670.2008044599,-0.000436394099249832
329933.7665584330,4157670.2039035000,0.0003875703866280794
329933.7690477920,4157670.2070025499,0
329933.7715371510,4157670.2101015998,-0.0003875703866280794
329933.7740265100,4157670.2132006399,0.0003875703866280794
329933.7765158690,4157670.2162996898,1.845567707307484e-05
329933.7790052280,4157670.2193987402,-0.0004244818520212576
329933.7814945870,4157670.2224977799,0.0004577218752603923
329933.7839839450,4157670.2255968298,-8.493552066467545e-05
