x,y,kappa
250297.3568,3688260.115,1.5127563378753047e-15
250297.6341119191,3688260.403267297,0.027945890241198482
250297.91154777166,3688260.6914157136,0.00409196361702585
250298.1865850435,3688260.9818350147,0.044352116340430396
250298.4532679247,3688261.2799502145,0.25158310236724124
250298.7232141486,3688261.5751211657,0.5431923674507138
250298.99483426297,3688261.8684248403,0.004185527319982304
250299.2495129149,3688262.176867403,0.06214312231124196
250299.50755184324,3688262.4824965796,0.4138321229540585
250299.77835055848,3688262.7768696807,0.029130873142850684
250300.0462468841,3688263.0739034964,0.4126238757451024
250300.30036256756,3688263.3828153796,0.05675655735337512
250300.54936531352,3688263.6958313123,0.03623562028005587
250300.79720031394,3688264.0097933286,0.14565968084580155
250301.0527855972,3688264.317488872,0.001412155390855369
250301.31364744174,3688264.620683756,0.09237030251736693
250301.5791553348,3688264.919851954,0.4740528993606185
250301.84027220696,3688265.222700878,0.0188559711455281
250302.11267265858,3688265.5156018413,0.310519150111713
250302.37365839773,3688265.8187259044,0.1696401563057664
250302.62329222012,3688266.1308643324,1.2033437478658944
250302.88649334127,3688266.431914718,0.4579588048910807
250303.14306341478,3688266.7387078535,0.38095028816568804
250303.39698040264,3688267.0477203084,0.21798994732939522
250303.65335441424,3688267.3547493555,0.1893919414244324
250303.90835064813,3688267.662800915,0.060041721453719506
250304.16450369995,3688267.9698850866,0.3205277786594776
250304.4346406395,3688268.2648041975,0.13522978423666815
250304.68573622734,3688268.5761449095,0.44585122195256716
250304.953721963,3688268.8730870485,0.30061854458769977
250305.20609400692,3688269.1833674824,0.188397157978009
250305.46320487373,3688269.489759225,0.38641701718124893
250305.72844230404,3688269.7890757667,0.5613021270989299
250305.99182092134,3688270.0899420865,0.3994624503987125
250306.2587524438,3688270.387838454,0.3631298741259916
250306.51968596136,3688270.6904830546,0.3056895121432602
250306.78440035877,3688270.9901604326,0.3497272420211388
250307.0377195964,3688271.299609909,0.12832169961617515
250307.2888161976,3688271.610966061,0.40277560926386785
250307.5509612235,3688271.913038486,0.1832383244534506
250307.7967773784,3688272.2285876386,0.10749019358916136
250308.0484110494,3688272.5393727906,0.2180761214454275
250308.29855836206,3688272.8514832905,0.10801748711790679
250308.54119053308,3688273.1694202633,0.015944387794057817
250308.77674091616,3688273.492706506,0.05262433657168931
250309.0130198309,3688273.815463875,0.06346652842460228
250309.2684589349,3688274.1229990134,0.0007053461643269836
250309.53609740283,3688274.420263421,0.38637358382151066
250309.80287321322,3688274.718092048,0.28814571478082235
250310.05839814566,3688275.025747009,0.030329008173967532
250310.30504058115,3688275.340653409,0.06541321873191847
250310.55679261696,3688275.651448456,0.11850473726626869
250310.81678588223,3688275.9553522407,0.33939270239408975
250311.08985700287,3688276.2475793795,0.030441757489522766
250311.35471617326,3688276.5473278468,0.023702361298705805
250311.62008063868,3688276.8466278506,0.09335837437377396
250311.88478986223,3688277.1465016096,0.6055227606469342
250312.14089005356,3688277.453565726,0.17321864783208327
250312.40903242247,3688277.7503479375,0.28587765226048106
250312.67042947363,3688278.0525358943,0.5169941767208269
250312.91787360483,3688278.366690439,0.7360093242153728
250313.18017862333,3688278.6686768327,0.3283354536922419
250313.4360674791,3688278.976016992,0.5169639870796926
250313.68764870972,3688279.2869665837,0.08782458464013182
250313.93698139006,3688279.599720103,0.0942219603191315
250314.1978764757,3688279.902749215,0.429905276149774
250314.45204105994,3688280.211618198,0.11488809581410256
250314.70577119626,3688280.520828472,0.7096189002017439
250314.96521857672,3688280.8248634543,0.03619099211477623
250315.21271987128,3688281.1390098743,0.2823724737677322
250315.45945617367,3688281.4538426567,0.007593388338727627
250315.7135281367,3688281.762755141,0.1700260807432788
250315.97839608142,3688282.0624976023,0.06954747836154299
250316.23809329115,3688282.3666719343,0.16550295853520486
250316.49498734926,3688282.6732568457,0.39548905924984373
250316.7400686577,3688282.9893409517,0.30645608413720293
250316.98018872426,3688283.309251249,0.22519780348776902
250317.23100301993,3688283.6208504224,0.00024009326043166233
250317.49522125578,3688283.9209427736,0.0398589535913268
250317.75962977784,3688284.220935116,0.14651237374036163
250318.0197897491,3688284.52477039,0.18697283718098387
250318.2698919871,3688284.83693024,0.021915154405412942
250318.52845255082,3688285.142012011,0.13324370653728895
250318.78113487252,3688285.45196853,0.08038702974938722
250319.0311628789,3688285.764180173,0.15339761704268254
250319.2726784274,3688286.0830051834,0.231860242571706
250319.52539324536,3688286.392998488,0.07340983713124885
250319.7898050282,3688286.69313022,0.1770665526140478
250320.0579246374,3688286.989918104,0.24185490091955275
