x,y,kappa
250298.7168,3688258.636,6.607765086827145e-16
250298.9930610536,3688258.925274461,0.005062076272652418
250299.2693765151,3688259.2144966447,0.0015050819326196726
250299.54503383633,3688259.504345417,0.037383682758496774
250299.81481606548,3688259.7996433144,0.04733302189959802
250300.08205170193,3688260.097253047,0.006585865714065381
250300.35826193032,3688260.3865814684,0.41109504112085654
250300.61689039296,3688260.6915774243,0.009639068137181114
250300.87201349752,3688260.9996361374,0.029117916008395372
250301.13769699953,3688261.29852972,0.14107651148324232
250301.40582749466,3688261.595335974,0.005210620260025805
250301.66788356958,3688261.8974502403,0.008569121942802512
250301.92209166358,3688262.20629066,0.10384157591146213
250302.1693433598,3688262.5207124758,0.0022758040306516286
250302.41954501928,3688262.8327632667,0.012452226855204716
250302.67534415273,3688263.1402899413,0.1585429465749859
250302.93934570553,3688263.440780611,0.10288691653132791
250303.20038869663,3688263.743765873,0.29127962658710155
250303.4713987016,3688264.037850815,0.11530683434179824
250303.7364935304,3688264.337324756,0.00527074889586618
250304.00011414944,3688264.638245911,0.6863706144037717
250304.2510747728,3688264.948967247,0.27913185431311044
250304.51143513704,3688265.2526068287,0.24053038924922918
250304.76669984675,3688265.5605099336,0.1558193814629989
250305.01880300563,3688265.8710430125,0.07102629454372994
250305.2784185879,3688266.175334435,0.18464535433041748
250305.52745840585,3688266.4883129257,0.32847172423763515
250305.79551797244,3688266.785020713,0.21433686681037822
250306.05717918582,3688267.087483749,0.24987953885623554
250306.31163416585,3688267.3958803327,0.10955495478811214
250306.57732732242,3688267.694858557,0.2201438959109242
250306.82743969874,3688268.007007477,0.11195104309486864
250307.09179754116,3688268.307142003,0.25987037894210774
250307.35703948088,3688268.606472856,0.3299008795085895
250307.61778137778,3688268.909702477,0.0496379162295383
250307.88873177263,3688269.2040244974,0.4367776204734145
250308.14215242374,3688269.51342077,0.33254614350522116
250308.40941371798,3688269.810979468,0.279141322078605
250308.65842891793,3688270.124002144,0.043388659594310194
250308.91520880285,3688270.430550104,0.09328185437486222
250309.17150829214,3688270.737575475,0.05261624339247985
250309.4152631537,3688271.054735484,0.29716669744889684
250309.67066471718,3688271.3625386213,0.16436266614592895
250309.91953278528,3688271.675684067,0.11528901254561107
250310.16009465442,3688271.9952148753,0.027189135126606496
250310.3956363215,3688272.3185140607,0.021734335239456934
250310.63097749994,3688272.64203496,0.5407688048480548
250310.8961691809,3688272.9413348096,0.031525047763981684
250311.16675292226,3688273.235918324,0.3162893335250914
250311.42759418034,3688273.539122514,0.1678486410667758
250311.67818096507,3688273.8508542995,0.00048582950685144256
250311.9244051935,3688274.1660973146,0.18617985229067105
250312.17862579395,3688274.4749168544,0.21371024051245527
250312.449088093,3688274.7695136657,0.1792668384018099
250312.7158107265,3688275.0675715087,2.7289830107064537e-05
250312.98102241804,3688275.3670050795,0.003345260545118915
250313.24571085806,3688275.6668922445,0.1279673453105087
250313.50327682268,3688275.9726988333,0.3646635564226318
250313.76734298049,3688276.2730454453,0.0953542243094169
250314.0402779477,3688276.565516653,0.525978260475619
250314.2935705096,3688276.875004935,0.4076623756685577
250314.54273074545,3688277.1875550193,0.07017801666702463
250314.79989501994,3688277.4938545097,0.32301154719363667
250315.05589667792,3688277.8010592624,0.09808394387241189
250315.30972466327,3688278.110207182,0.13905799557197393
250315.55789694158,3688278.423939436,0.38244546109509775
250315.820761363,3688278.725335816,0.1158111519976712
250316.07470277546,3688279.0343866916,0.169644177306001
