x,y,kappa
329932.0188901360,4157671.2167776199,-0.04011651503710447
329932.0209916220,4157671.2195113199,-0.04214350161663293
329932.0230935020,4157671.2222447102,-0.04313050962065994
329932.0251957900,4157671.2249777899,-0.04733291703969187
329932.0272985190,4157671.2277105199,-0.04859597323735836
329932.0294017000,4157671.2304428900,-0.0515153883878583
329932.0315053690,4157671.2331748898,-0.05402561653273914
329932.0336095410,4157671.2359064901,-0.05749457545852193
329932.0357142520,4157671.2386376699,-0.06047484901833199
329932.0378195240,4157671.2413683999,-0.0622664818577588
329932.0399253840,4157671.2440986801,-0.06765306356696914
329932.0420318740,4157671.2468284601,-0.06911458929611466
329932.0441390160,4157671.2495577401,-0.07414079817190715
329932.0462468470,4157671.2522864700,-0.07756560200790588
329932.0483554030,4157671.2550146300,-0.08165264947181601
329932.0504647220,4157671.2577421898,-0.08602867824527248
329932.0525748470,4157671.2604691200,-0.09033313759147861
329932.0546858190,4157671.2631953899,-0.09599977942278445
329932.0567976850,4157671.2659209501,-0.1007151109275499
329932.0589104920,4157671.2686457699,-0.1061175212496512
329932.0610242910,4157671.2713698102,-0.1117590924903042
329932.0631391350,4157671.2740930300,-0.1180846714902025
329932.0652550810,4157671.2768153800,-0.1252046924866358
329932.0673721970,4157671.2795368098,-0.1325972927272032
329932.0694905480,4157671.2822572598,-0.1395131698388706
329932.0716101990,4157671.2849766798,-0.1490971226773651
329932.0737312400,4157671.2876949999,-0.1563408970217667
329932.0758537410,4157671.2904121699,-0.1666356508062632
329932.0779777950,4157671.2931281100,-0.1783427708036672
329932.0801035080,4157671.2958427300,-0.1888286009833914
329932.0822309760,4157671.2985559502,-0.2006919361482766
329932.0843603150,4157671.3012676900,-0.2153193125513358
329932.0864916520,4157671.3039778299,-0.2294270061692684
329932.0886251220,4157671.3066862701,-0.2462039262643977
329932.0907608760,4157671.3093928802,-0.2653255181438208
329932.0928990930,4157671.3120975201,-0.2828714410601593
329932.0950399360,4157671.3148000599,-0.3088557309756792
329932.0971836330,4157671.3175002900,-0.3313698441836718
329932.0993303980,4157671.3201980498,-0.3601102969200126
329932.1014804930,4157671.3228931199,-0.3926733360492973
329932.1036342130,4157671.3255852498,-0.4289156222485508
329932.1057918860,4157671.3282741602,-0.4702441738638992
329932.1079538920,4157671.3309595399,-0.5199461044798871
329932.1101206760,4157671.3336410001,-0.5756032918569411
329932.1122927480,4157671.3363181199,-0.6422523479782365
329932.1144706980,4157671.3389903698,-0.7227264426693053
329932.1166552620,4157671.3416571398,-0.8171022064178902
329932.1188472750,4157671.3443176802,-0.9365430307339491
329932.1210478080,4157671.3469710601,-1.081768799548938
329932.1232581480,4157671.3496161299,-1.270978879678605
329932.1254799700,4157671.3522513900,-1.519386930690819
329932.1277154530,4157671.3548748498,-1.847231002379832
329932.1299674520,4157671.3574838601,-0.8055886338452487
329932.1337088920,4157671.3617862798,2.189559784639678
329932.1358585910,4157671.3643081398,11.06636738144866
329932.1370344380,4157671.3657706198,31.26034358300965
329932.1380750160,4157671.3672286798,3.969023062248694
329932.1397416140,4157671.3696105802,-5.91120736546396
329932.1425958120,4157671.3734976398,-3.020459051969421
329932.1471937040,4157671.3795196898,-0.4730755458147808
329932.1535172890,4157671.3877294902,0.6253242552024703
329932.1609324140,4157671.3974986100,-1.130945274704844
329932.1693001340,4157671.4081944800,-0.340507588686122
329932.1779866100,4157671.4191909502,-0.08841565832850584
329932.1859658330,4157671.4292674600,-0.2448873442275884
329932.1927910380,4157671.4378351900,-0.2536633942012752
329932.1984642590,4157671.4449198199,-0.4253124417124423
329932.2030839880,4157671.4506477201,0.5438472951914913
329932.2072314510,4157671.4558303100,-0.3293197033488213
329932.2119956820,4157671.4617550699,2.896608723283006
329932.2182636560,4157671.4699786198,0.6188209424057556
329932.2262042970,4157671.4805557900,-0.0002949516274281947
329932.2357800170,4157671.4933108198,-0.2110367447282894
329932.2468850140,4157671.5079917200,-0.01801959484861378
329932.2584443300,4157671.5232624901,-0.9358987802926774
329932.2696957110,4157671.5375983599,-1.483017294377231
329932.2801438020,4157671.5502292798,-1.362719510567897
329932.2895940150,4157671.5611768598,-0.02852261959658267
329932.2973058770,4157671.5701038898,1.8911001058756
329932.3036187310,4157671.5777218500,2.533631174483216
329932.3094083620,4157671.5850657099,2.48525570787296
329932.3149821980,4157671.5924827401,0.6096465251690006
329932.3207351870,4157671.6002308498,-0.04215949270628676
329932.3270838990,4157671.6087736399,-1.062824931656147
329932.3344334830,4157671.6184172500,-1.050091187722548
329932.3424185940,4157671.6286134599,-2.180171893904977
329932.3505096960,4157671.6383707700,-1.180933019035933
329932.3581540090,4157671.6473230701,1.045050962362912
329932.3642141560,4157671.6545816599,-0.3324264214628122
329932.3690469170,4157671.6603370602,4.329349883150734
329932.3734241430,4157671.6658975198,3.387561952615054
329932.3780632740,4157671.6721052900,2.097462818195718
329932.3835936250,4157671.6797912498,-0.5842170049271493
329932.3906287070,4157671.6894405801,-0.8261628625907652
329932.3999198250,4157671.7018851400,-0.4474568632593302
329932.4111492040,4157671.7166887899,-0.7439372666313817
329932.4233565480,4157671.7323129801,-0.6349384239022303
329932.4358479410,4157671.7478909902,-0.4494589227706823
329932.4484959640,4157671.7633772902,-0.003968239075860312
329932.4610073550,4157671.7786938301,0.03204939348845703
329932.4731905140,4157671.7936276100,0.2222536945672625
329932.4851602350,4157671.8084279499,0.255637638665764
329932.4971550190,4157671.8234083899,0.3348227871465785
329932.5092390470,4157671.8387022400,0.1819762934956868
329932.5211795260,4157671.8539246898,-1.101315690116595
329932.5333082960,4157671.8687300300,-0.9289985072961728
329932.5458336370,4157671.8834737600,-0.6213780306165527
329932.5583813440,4157671.8978910898,-0.08489396658363892
329932.5706305760,4157671.9119200301,0.2451200986495538
329932.5823971460,4157671.9255188499,0.7102745197254491
329932.5934305980,4157671.9385962798,0.6510951629596143
329932.6037894120,4157671.9511483801,0.6841000936625932
329932.6129425810,4157671.9624810000,-0.9250138910271063
329932.6214758370,4157671.9727712199,-1.608696104758
329932.6300537750,4157671.9826782099,-1.175189994592514
329932.6386623120,4157671.9923185599,0.01197441933792331
329932.6474815230,4157672.0021979501,0.9316517078074753
329932.6567018610,4157672.0127948201,0.442639005795167
329932.6663489220,4157672.0240261499,0.9806276601980684
329932.6765012760,4157672.0362117500,0.4549557048625919
329932.6866336210,4157672.0485539599,-0.2990724698416009
329932.6975677540,4157672.0617392198,-0.1538048323694999
329932.7093878230,4157672.0759136900,-0.9850267450349217
329932.7219126100,4157672.0903801098,-1.082000970996758
329932.7347933310,4157672.1046482702,-0.069074162482537
329932.7466749950,4157672.1177760600,-0.1617346681192266
329932.7573406570,4157672.1294962401,0.8698867965805678
329932.7658303140,4157672.1390619501,0.3704486165795199
329932.7723206760,4157672.1464369502,0.159007753566271
329932.7771411300,4157672.1519295000,-0.9278175674832161
329932.7806868960,4157672.1559221400,7.163848124271506
329932.7836968240,4157672.1595681300,0.7000885108658059
329932.7869820980,4157672.1635758900,-4.613321990918692
329932.7915181680,4157672.1688046800,3.741412168911963
329932.7972158350,4157672.1757820798,-1.399499477713784
329932.8040216380,4157672.1838871199,0.7155329482164851
329932.8123131110,4157672.1939325300,0.490579931457607
329932.8222633490,4157672.2061625100,-0.3759399355589159
329932.8342785590,4157672.2207356300,-0.395934440869109
329932.8482629930,4157672.2374217301,-0.16744586001179
329932.8633953430,4157672.2553392700,-0.3190569114533054
329932.8791838330,4157672.2737476798,-0.1842197465091635
329932.8944046520,4157672.2913378500,-0.08850162506685834
329932.9079329800,4157672.3069108399,-0.9988919927142047
329932.9195987270,4157672.3198353802,-1.042799729289033
329932.9291633010,4157672.3300890499,-0.9620652008391243
329932.9368011380,4157672.3380816602,0.8422429513902225
329932.9430199750,4157672.3447008398,3.84387951357045
329932.9484327790,4157672.3508597799,4.439987199393545
329932.9539535280,4157672.3576396201,2.116925965841277
