INDEX,L1_UTM_X,L1_UTM_Y,L1_KAPPA,R1_UTM_X,R1_UTM_Y,R1_KAPPA
28,250304.7025432866,3688268.5961387735,0.3991760985304965,250306.07510401914,3688267.1096597994,0.2943052778264842
29,250304.97156940773,3688268.8934232453,0.28710298678616175,250306.33172727545,3688267.4175485196,0.013834361788045868
30,250305.22364506643,3688269.20516983,0.1615430768250335,250306.59667158604,3688267.718510948,0.22206214783186634
31,250305.48274940273,3688269.511082463,0.24887482976508585,250306.8476391586,3688268.031274046,0.10020969192584032
32,250305.74853761293,3688269.811158369,0.3757176398310609,250307.11358864047,3688268.3313689083,0.37981961200230097
33,250306.01181815309,3688270.1133554704,0.3203110735022102,250307.3796616267,3688268.631316903,0.5306092706327625
34,250306.2807674053,3688270.4107116414,0.1656376284020409,250307.64112109403,3688268.935287636,0.04542770753353983
35,250306.5399020508,3688270.7161635533,0.32644763160183843,250307.91241742583,3688269.230635185,0.5974873418382862
36,250306.80688899496,3688271.0151177654,0.33591785569912613,250308.16638101437,3688269.540933797,0.34282445324430216
37,250307.05910379702,3688271.3267100086,0.09608332680250893,250308.43335237325,3688269.840086022,0.27164866363487394
38,250307.31215142322,3688271.637650588,0.28064068264717124,250308.68261062965,3688270.154222786,0.09473094835700649
39,250307.5737221434,3688271.9414329077,0.14870420569233364,250308.9417721238,3688270.4600883243,0.24322661183812075
40,250307.81927939662,3688272.258377217,0.0008765078371192502,250309.19674540474,3688270.769552402,0.0298247768622003
41,250308.07303110912,3688272.5686594173,0.19839929356294503,250309.44094136794,3688271.0876463,0.43148722203800866
42,250308.3229826924,3688272.8821345856,0.030453760354929714,250309.6974420794,3688271.3958910103,0.1641918014678873
43,250308.56466627726,3688273.2019614168,0.0013444241829002666,250309.9468154372,3688271.7099369136,0.19881227908880714
44,250308.80093570924,3688273.525876874,0.03281703277073708,250310.18634707713,3688272.031528729,0.005058801030479298
45,250309.03815867685,3688273.8491160446,0.1533310131794414,250310.4227625162,3688272.355446335,0.04677282516562567
46,250309.29743075007,3688274.15467798,0.03383488594643349,250310.6600285732,3688272.678741651,0.7345418022777689
47,250309.56635398735,3688274.4520209786,0.16217454455576424,250310.9279955884,3688272.9770758646,0.01975358866449527
48,250309.83207059445,3688274.7520652954,0.14291047795637296,250311.19960683625,3688273.272092843,0.4963986784540262
49,250310.0864772408,3688275.0618357644,0.007925404641420766,250311.46000516828,3688273.5770565476,0.3212682845889037
50,250310.33374817076,3688275.3774343026,0.00961751975731034,250311.70962402044,3688273.8909032405,0.004301510805965064
51,250310.58709156327,3688275.6881419015,0.044705387444916665,250311.9568346165,3688274.206660223,0.27036404435924877
52,250310.85027469244,3688275.9904593714,0.17885012518057733,250312.21278149483,3688274.5153778116,0.34371627739044613
53,250311.12262484868,3688276.2846221016,0.018257157715066172,250312.4860227744,3688274.808860252,0.2965443896166979
54,250311.3880226066,3688276.5851361016,0.0005456789614210685,250312.75224321787,3688275.108763749,0.012863623765334464
