INDEX,L1_UTM_X,L1_UTM_Y,L1_LON,L1_LAT,L1_ALT,R1_UTM_X,R1_UTM_Y,R1_LON,R1_LAT,R1_ALT
0,329933.482771548,4157669.85061221,127.074754888012,37.550356875467,15.6523,329931.785658973,4157670.91329457,127.074735497075,37.5503661000396,15.6624179206438
1,329933.485260907,4157669.85371126,127.074754915544,37.5503569037928,15.6523091346154,329931.785658973,4157670.91329457,127.074735497075,37.5503661000396,15.6624179206438
2,329933.487750265,4157669.8568103,127.074754943076,37.5503569321185,15.6523182692308,329931.78777136,4157670.91602008,127.074735520345,37.5503661249822,15.662377726357
3,329933.490239623,4157669.85990935,127.074754970607,37.5503569604443,15.6523274038462,329931.789883408,4157670.91874586,127.07473554361,37.5503661499272,15.6623374821157
4,329933.492728982,4157669.8630084,127.074754998139,37.55035698877,15.6523365384615,329931.791995119,4157670.9214719,127.074735566871,37.5503661748744,15.6622971873648
5,329933.495218341,4157669.86610744,127.074755025671,37.5503570170958,15.6523456730769,329931.794106497,4157670.92419819,127.074735590129,37.5503661998238,15.6622568415365
6,329933.497707699,4157669.86920649,127.074755053203,37.5503570454215,15.6523548076923,329931.796217545,4157670.92692474,127.074735613383,37.5503662247755,15.6622164440712
7,329933.500197059,4157669.87230554,127.074755080734,37.5503570737472,15.6523639423077,329931.798328266,4157670.92965154,127.074735636633,37.5503662497294,15.6621759943815
8,329933.502686417,4157669.87540458,127.074755108266,37.550357102073,15.6523730769231,329931.800438662,4157670.9323786,127.074735659879,37.5503662746855,15.662135491885
9,329933.505175775,4157669.87850363,127.074755135798,37.5503571303987,15.6523822115385,329931.802548738,4157670.93510589,127.074735683122,37.5503662996438,15.6620949359815
10,329933.507665133,4157669.88160268,127.07475516333,37.5503571587245,15.6523913461538,329931.804658495,4157670.93783344,127.074735706361,37.5503663246042,15.6620543260848
11,329933.510154492,4157669.88470172,127.074755190862,37.5503571870503,15.6524004807692,329931.806767937,4157670.94056123,127.074735729596,37.5503663495668,15.6620136615658
12,329933.51264385,4157669.88780077,127.074755218393,37.550357215376,15.6524096153846,329931.808877068,4157670.94328925,127.074735752828,37.5503663745314,15.6619729418243
13,329933.515133209,4157669.89089982,127.074755245925,37.5503572437018,15.65241875,329931.810985889,4157670.94601752,127.074735776056,37.5503663994982,15.6619321662269
14,329933.517622567,4157669.89399886,127.074755273457,37.5503572720275,15.6524278846154,329931.813094404,4157670.94874602,127.074735799281,37.550366424467,15.6618913338757
15,329933.520111925,4157669.89709791,127.074755300989,37.5503573003533,15.6524370192308,329931.815202614,4157670.95147476,127.074735822502,37.5503664494379,15.6618504439804
16,329933.522601284,4157669.90019695,127.07475532852,37.550357328679,15.6524461538462,329931.817310524,4157670.95420373,127.07473584572,37.5503664744108,15.6618094962648
17,329933.525090643,4157669.903296,127.074755356052,37.5503573570047,15.6524552884615,329931.819418139,4157670.95693292,127.074735868934,37.5503664993857,15.6617684900568
18,329933.52758,4157669.90639505,127.074755383584,37.5503573853305,15.6524644230769,329931.82152546,4157670.95966234,127.074735892145,37.5503665243625,15.6617274246956
19,329933.530069361,4157669.9094941,127.074755411116,37.5503574136563,15.6524735576923,329931.823632491,4157670.96239198,127.074735915353,37.5503665493414,15.6616862994957
20,329933.532558719,4157669.91259314,127.074755438648,37.550357441982,15.6524826923077,329931.825739236,4157670.96512185,127.074735938557,37.5503665743221,15.6616451137649
21,329933.535048077,4157669.91569219,127.074755466179,37.5503574703078,15.6524918269231,329931.827845697,4157670.96785193,127.074735961758,37.5503665993048,15.6616038668157
22,329933.537537436,4157669.91879123,127.074755493711,37.5503574986335,15.6525009615385,329931.829951875,4157670.97058223,127.074735984956,37.5503666242894,15.6615625573065
23,329933.540026794,4157669.92189028,127.074755521243,37.5503575269593,15.6525100961539,329931.832057775,4157670.97331274,127.074736008151,37.5503666492758,15.6615211847621
24,329933.542516153,4157669.92498933,127.074755548775,37.550357555285,15.6525192307692,329931.834163401,4157670.97604346,127.074736031342,37.5503666742641,15.6614797487744
25,329933.545005511,4157669.92808837,127.074755576307,37.5503575836108,15.6525283653846,329931.836268757,4157670.97877439,127.074736054531,37.5503666992542,15.6614382486081
26,329933.547494869,4157669.93118742,127.074755603838,37.5503576119365,15.6525375,329931.838373845,4157670.98150553,127.074736077716,37.5503667242461,15.6613966835096
27,329933.549984228,4157669.93428647,127.07475563137,37.5503576402623,15.6525466346154,329931.840478671,4157670.98423687,127.074736100898,37.5503667492398,15.6613550527067
28,329933.552473586,4157669.93738551,127.074755658902,37.550357668588,15.6525557692308,329931.842583232,4157670.98696841,127.074736124078,37.5503667742352,15.6613133546232
29,329933.554962945,4157669.94048456,127.074755686434,37.5503576969137,15.6525649038462,329931.844687535,4157670.98970014,127.074736147254,37.5503667992324,15.661271588809
30,329933.557452303,4157669.94358361,127.074755713965,37.5503577252395,15.6525740384615,329931.846791585,4157670.99243208,127.074736170427,37.5503668242313,15.6612297548691
